Name,SMILES
62,O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)C[C@H](O)CCCCCCCCCCC
63,O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)C[C@H](O)CCCCC/C=C\CCCCCC
64,O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)CCCCCCCCCCCCC
65,O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)CCCCCCC/C=C\CCCCCC
66,O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)C[C@H](O)CCCCCCCCCCCCC
67,O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)CCCCCCC/C=C\CCCCCCCCCC
68,O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)CCCCCCCCCCCCCCC
69,O=C(C)N(O)CCC[C@@H](C([O-])=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCN(O)C(=O)C)NC(=O)[C@H](CCCN(O)C(=O)C)NC(=O)CCCCCCC/C=C\CCCCCCCC
70,ON1CCC[C@H](C1=O)NC(=O)[C@@H](CCCN(O)C=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H]2N=C(OC2)c3c(O)cccc3
71,O=C(C)N(O)CCC[C@H](C1=O)NC(=O)[C@@H](CCCNO)NC(=O)[C@H](CCCN1O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)C
